Date,NEWS,LINK
03/01/2000,"Goldman Sachs raises its price target to $38, highlighting HP’s leadership in hybrid work solutions.  ",https://finance.yahoo.com/quote/HPQ/news/
04/01/2000,,https://finance.yahoo.com/quote/HPQ/news/
05/01/2000,"HP reports Q3 2023 revenue of $13 billion, driven by strong demand for PCs and printers.  ",https://finance.yahoo.com/quote/HPQ/news/
06/01/2000,The company announces a $2 billion stock buyback program to return value to shareholders.  ,https://finance.yahoo.com/quote/HPQ/news/
07/01/2000,HP’s market cap surpasses $35 billion as the stock reaches a 52-week high.  ,https://finance.yahoo.com/quote/HPQ/news/
10/01/2000,"The board approves a 10% dividend increase, marking the 12th consecutive annual raise.  ",https://finance.yahoo.com/quote/HPQ/news/
11/01/2000,"Personal Systems revenue grows 8% year-over-year, reaching $9 billion in Q3.  ",https://finance.yahoo.com/quote/HPQ/news/
12/01/2000,"Morgan Stanley upgrades HP to Equal Weight with a $35 price target, citing stabilization in PC demand.  ",https://finance.yahoo.com/quote/HPQ/news/
13/01/2000,UBS downgrades HP due to concerns over slowing printer sales and supply chain challenges.  ,https://finance.yahoo.com/quote/HPQ/news/
14/01/2000,"Goldman Sachs raises its price target to $38, highlighting HP’s leadership in hybrid work solutions.  ",https://finance.yahoo.com/quote/HPQ/news/
18/01/2000,"HP’s commercial PC segment sees record growth, driven by enterprise demand.  ",https://finance.yahoo.com/quote/HPQ/news/
19/01/2000,The company is added to the S&P 500 ESG Index for its sustainability efforts.  ,https://finance.yahoo.com/quote/HPQ/news/
20/01/2000,,https://finance.yahoo.com/quote/HPQ/news/
21/01/2000,"HP unveils the Elite Dragonfly G4, a lightweight laptop for hybrid work environments.  ",https://finance.yahoo.com/quote/HPQ/news/
24/01/2000,"The company launches the HP Spectre x360 14, featuring a 2.8K OLED display.  ",https://finance.yahoo.com/quote/HPQ/news/
25/01/2000,HP delays the rollout of its next-gen 3D printers to 2024 due to technical challenges.  ,https://finance.yahoo.com/quote/HPQ/news/
26/01/2000,"The company introduces HP Wolf Security, a suite of tools to protect against cyber threats.  ",https://finance.yahoo.com/quote/HPQ/news/
27/01/2000,HP’s gaming division sees strong growth with the launch of the Omen 45L desktop.  ,https://finance.yahoo.com/quote/HPQ/news/
28/01/2000,The company announces a partnership with Microsoft to optimize Windows 11 for HP devices.  ,https://finance.yahoo.com/quote/HPQ/news/
31/01/2000,HP’s subscription-based Instant Ink program surpasses 10 million subscribers.  ,https://finance.yahoo.com/quote/HPQ/news/
